2023-05-14 11:03:32,520 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'hotkey-dialog-vbox1'
2023-05-14 11:03:32,520 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'new-hotkey-label'
2023-05-14 11:03:32,522 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'hotkey_dialog','delete_event', 'on_delete_event'
2023-05-14 11:03:32,523 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'hotkey_input','key_press_event', 'on_hotkey_input_key_press_event'
2023-05-14 11:03:32,852 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_get_all() | API call /get/all
2023-05-14 11:03:35,851 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_theme_name() | Set theme-name to ubuntu
2023-05-14 11:03:39,323 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_theme_name() | Set theme-name to dark
2023-05-14 11:03:41,962 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_theme_name() | Set theme-name to light
2023-05-14 11:03:42,796 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_autostart() | Set autostart-enabled to True
2023-05-14 11:03:50,599 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_disable_desktop_filters() | Set disable-desktop-filters to True
2023-05-14 11:03:52,511 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_disable_desktop_filters() | Set disable-desktop-filters to False
2023-05-14 11:03:59,270 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_close() | Close preferences
2023-05-14 11:04:01,972 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-05-14 11:04:01,972 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-05-14 11:04:01,973 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-05-14 11:09:19,887 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-05-14 11:09:19,887 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-05-14 11:09:19,888 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-05-14 11:09:21,513 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-05-14 11:09:22,365 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-05-14 11:09:30,376 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-05-14 11:09:30,376 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-05-14 11:09:30,376 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-05-14 11:09:31,853 | DEBUG | ulauncher.ui.windows.UlauncherWindow: activate_preferences() | show existing preferences_dialog
2023-05-14 11:09:31,958 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_get_all() | API call /get/all
2023-05-14 11:09:35,905 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_theme_name() | Set theme-name to dark
2023-05-14 11:09:38,539 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_shortcut_get_all() | Handling /shortcut/get-all
2023-05-14 11:09:40,428 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_close() | Close preferences
2023-05-14 11:09:40,855 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-05-14 11:09:40,855 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-05-14 11:09:40,855 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-05-14 11:09:42,269 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2023-05-14 11:09:42,459 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-05-14 11:09:42,510 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-05-14 11:09:42,616 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2023-05-14 11:09:42,936 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-05-14 11:09:43,181 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2023-05-14 11:09:43,204 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2023-05-14 12:32:53,316 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-05-14 12:32:53,317 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-05-14 12:32:53,318 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-05-14 12:32:54,887 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2023-05-14 12:32:55,072 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-05-14 12:32:55,124 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-05-14 12:32:55,214 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2023-05-14 12:32:56,221 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-05-14 12:32:56,370 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-05-14 12:32:56,507 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
